t;V;Vx;Vy;h;d;alpha;
0.48;7.47;7.07;2.41;7.25;3.36;0.33;
0.48;7.47;7.07;2.40;7.25;3.36;0.33;
0.48;7.47;7.07;2.40;7.25;3.36;0.33;
0.48;7.47;7.07;2.40;7.25;3.37;0.33;
0.48;7.47;7.07;2.40;7.26;3.37;0.33;
0.48;7.47;7.07;2.40;7.26;3.37;0.33;
0.48;7.47;7.07;2.40;7.26;3.37;0.33;
0.48;7.47;7.07;2.39;7.26;3.37;0.33;
0.48;7.46;7.07;2.39;7.26;3.37;0.33;
0.48;7.46;7.07;2.39;7.26;3.37;0.33;
0.48;7.46;7.07;2.39;7.26;3.38;0.33;
0.48;7.46;7.07;2.39;7.26;3.38;0.33;
0.48;7.46;7.07;2.38;7.26;3.38;0.33;
0.48;7.46;7.07;2.38;7.26;3.38;0.32;
0.48;7.46;7.07;2.38;7.26;3.38;0.32;
0.48;7.46;7.07;2.38;7.26;3.38;0.32;
0.48;7.46;7.07;2.38;7.26;3.38;0.32;
0.48;7.46;7.07;2.37;7.26;3.39;0.32;
0.48;7.46;7.07;2.37;7.26;3.39;0.32;
0.48;7.46;7.07;2.37;7.26;3.39;0.32;
0.48;7.46;7.07;2.37;7.26;3.39;0.32;
0.48;7.46;7.07;2.37;7.26;3.39;0.32;
0.48;7.46;7.07;2.36;7.26;3.39;0.32;
0.48;7.46;7.07;2.36;7.26;3.39;0.32;
0.48;7.45;7.07;2.36;7.26;3.40;0.32;
0.48;7.45;7.07;2.36;7.26;3.40;0.32;
0.48;7.45;7.07;2.36;7.27;3.40;0.32;
0.48;7.45;7.07;2.35;7.27;3.40;0.32;
0.48;7.45;7.07;2.35;7.27;3.40;0.32;
0.48;7.45;7.07;2.35;7.27;3.40;0.32;
0.48;7.45;7.07;2.35;7.27;3.40;0.32;
0.48;7.45;7.07;2.35;7.27;3.41;0.32;
0.48;7.45;7.07;2.35;7.27;3.41;0.32;
0.48;7.45;7.07;2.34;7.27;3.41;0.32;
0.48;7.45;7.07;2.34;7.27;3.41;0.32;
0.48;7.45;7.07;2.34;7.27;3.41;0.32;
0.48;7.45;7.07;2.34;7.27;3.41;0.32;
0.48;7.45;7.07;2.34;7.27;3.41;0.32;
0.48;7.45;7.07;2.33;7.27;3.41;0.32;
0.48;7.45;7.07;2.33;7.27;3.42;0.32;
0.48;7.44;7.07;2.33;7.27;3.42;0.32;
0.48;7.44;7.07;2.33;7.27;3.42;0.32;
0.48;7.44;7.07;2.33;7.27;3.42;0.32;
0.48;7.44;7.07;2.32;7.27;3.42;0.32;
0.48;7.44;7.07;2.32;7.27;3.42;0.32;
0.48;7.44;7.07;2.32;7.27;3.42;0.32;
0.48;7.44;7.07;2.32;7.27;3.43;0.32;
0.48;7.44;7.07;2.32;7.27;3.43;0.32;
0.48;7.44;7.07;2.31;7.28;3.43;0.32;
0.49;7.44;7.07;2.31;7.28;3.43;0.32;
0.49;7.44;7.07;2.31;7.28;3.43;0.32;
0.49;7.44;7.07;2.31;7.28;3.43;0.32;
0.49;7.44;7.07;2.31;7.28;3.43;0.32;
0.49;7.44;7.07;2.30;7.28;3.44;0.32;
0.49;7.44;7.07;2.30;7.28;3.44;0.31;
0.49;7.44;7.07;2.30;7.28;3.44;0.31;
0.49;7.44;7.07;2.30;7.28;3.44;0.31;
0.49;7.43;7.07;2.30;7.28;3.44;0.31;
0.49;7.43;7.07;2.30;7.28;3.44;0.31;
0.49;7.43;7.07;2.29;7.28;3.44;0.31;
0.49;7.43;7.07;2.29;7.28;3.45;0.31;
0.49;7.43;7.07;2.29;7.28;3.45;0.31;
0.49;7.43;7.07;2.29;7.28;3.45;0.31;
0.49;7.43;7.07;2.29;7.28;3.45;0.31;
0.49;7.43;7.07;2.28;7.28;3.45;0.31;
0.49;7.43;7.07;2.28;7.28;3.45;0.31;
0.49;7.43;7.07;2.28;7.28;3.45;0.31;
0.49;7.43;7.07;2.28;7.28;3.46;0.31;
0.49;7.43;7.07;2.28;7.28;3.46;0.31;
0.49;7.43;7.07;2.27;7.28;3.46;0.31;
0.49;7.43;7.07;2.27;7.29;3.46;0.31;
0.49;7.43;7.07;2.27;7.29;3.46;0.31;
0.49;7.43;7.07;2.27;7.29;3.46;0.31;
0.49;7.43;7.07;2.27;7.29;3.46;0.31;
0.49;7.42;7.07;2.26;7.29;3.46;0.31;
0.49;7.42;7.07;2.26;7.29;3.47;0.31;
0.49;7.42;7.07;2.26;7.29;3.47;0.31;
0.49;7.42;7.07;2.26;7.29;3.47;0.31;
0.49;7.42;7.07;2.26;7.29;3.47;0.31;
0.49;7.42;7.07;2.25;7.29;3.47;0.31;
0.49;7.42;7.07;2.25;7.29;3.47;0.31;
0.49;7.42;7.07;2.25;7.29;3.47;0.31;
0.49;7.42;7.07;2.25;7.29;3.48;0.31;
0.49;7.42;7.07;2.25;7.29;3.48;0.31;
0.49;7.42;7.07;2.25;7.29;3.48;0.31;
0.49;7.42;7.07;2.24;7.29;3.48;0.31;
0.49;7.42;7.07;2.24;7.29;3.48;0.31;
0.49;7.42;7.07;2.24;7.29;3.48;0.31;
0.49;7.42;7.07;2.24;7.29;3.48;0.31;
0.49;7.42;7.07;2.24;7.29;3.49;0.31;
0.49;7.42;7.07;2.23;7.29;3.49;0.31;
0.49;7.41;7.07;2.23;7.29;3.49;0.31;
0.49;7.41;7.07;2.23;7.30;3.49;0.31;
0.49;7.41;7.07;2.23;7.30;3.49;0.31;
0.49;7.41;7.07;2.23;7.30;3.49;0.30;
0.49;7.41;7.07;2.22;7.30;3.49;0.30;
0.49;7.41;7.07;2.22;7.30;3.50;0.30;
0.49;7.41;7.07;2.22;7.30;3.50;0.30;
0.49;7.41;7.07;2.22;7.30;3.50;0.30;
0.49;7.41;7.07;2.22;7.30;3.50;0.30;
0.50;7.41;7.07;2.21;7.30;3.50;0.30;
0.50;7.41;7.07;2.21;7.30;3.50;0.30;
0.50;7.41;7.07;2.21;7.30;3.50;0.30;
0.50;7.41;7.07;2.21;7.30;3.50;0.30;
0.50;7.41;7.07;2.21;7.30;3.51;0.30;
0.50;7.41;7.07;2.20;7.30;3.51;0.30;
0.50;7.41;7.07;2.20;7.30;3.51;0.30;
0.50;7.41;7.07;2.20;7.30;3.51;0.30;
0.50;7.41;7.07;2.20;7.30;3.51;0.30;
0.50;7.40;7.07;2.20;7.30;3.51;0.30;
0.50;7.40;7.07;2.19;7.30;3.51;0.30;
0.50;7.40;7.07;2.19;7.30;3.52;0.30;
0.50;7.40;7.07;2.19;7.30;3.52;0.30;
0.50;7.40;7.07;2.19;7.30;3.52;0.30;
0.50;7.40;7.07;2.19;7.30;3.52;0.30;
0.50;7.40;7.07;2.19;7.31;3.52;0.30;
0.50;7.40;7.07;2.18;7.31;3.52;0.30;
0.50;7.40;7.07;2.18;7.31;3.52;0.30;
0.50;7.40;7.07;2.18;7.31;3.53;0.30;
0.50;7.40;7.07;2.18;7.31;3.53;0.30;
0.50;7.40;7.07;2.18;7.31;3.53;0.30;
0.50;7.40;7.07;2.17;7.31;3.53;0.30;
0.50;7.40;7.07;2.17;7.31;3.53;0.30;
0.50;7.40;7.07;2.17;7.31;3.53;0.30;
0.50;7.40;7.07;2.17;7.31;3.53;0.30;
0.50;7.40;7.07;2.17;7.31;3.54;0.30;
0.50;7.39;7.07;2.16;7.31;3.54;0.30;
0.50;7.39;7.07;2.16;7.31;3.54;0.30;
0.50;7.39;7.07;2.16;7.31;3.54;0.30;
0.50;7.39;7.07;2.16;7.31;3.54;0.30;
0.50;7.39;7.07;2.16;7.31;3.54;0.30;
0.50;7.39;7.07;2.15;7.31;3.54;0.30;
0.50;7.39;7.07;2.15;7.31;3.55;0.30;
0.50;7.39;7.07;2.15;7.31;3.55;0.30;
0.50;7.39;7.07;2.15;7.31;3.55;0.30;
0.50;7.39;7.07;2.15;7.31;3.55;0.29;
0.50;7.39;7.07;2.14;7.31;3.55;0.29;
0.50;7.39;7.07;2.14;7.31;3.55;0.29;
0.50;7.39;7.07;2.14;7.31;3.55;0.29;
0.50;7.39;7.07;2.14;7.32;3.55;0.29;
0.50;7.39;7.07;2.14;7.32;3.56;0.29;
0.50;7.39;7.07;2.14;7.32;3.56;0.29;
0.50;7.39;7.07;2.13;7.32;3.56;0.29;
0.50;7.39;7.07;2.13;7.32;3.56;0.29;
0.50;7.38;7.07;2.13;7.32;3.56;0.29;
0.50;7.38;7.07;2.13;7.32;3.56;0.29;
0.50;7.38;7.07;2.13;7.32;3.56;0.29;
0.50;7.38;7.07;2.12;7.32;3.57;0.29;
0.50;7.38;7.07;2.12;7.32;3.57;0.29;
0.50;7.38;7.07;2.12;7.32;3.57;0.29;
0.50;7.38;7.07;2.12;7.32;3.57;0.29;
0.51;7.38;7.07;2.12;7.32;3.57;0.29;
0.51;7.38;7.07;2.11;7.32;3.57;0.29;
0.51;7.38;7.07;2.11;7.32;3.57;0.29;
0.51;7.38;7.07;2.11;7.32;3.58;0.29;
0.51;7.38;7.07;2.11;7.32;3.58;0.29;
0.51;7.38;7.07;2.11;7.32;3.58;0.29;
0.51;7.38;7.07;2.10;7.32;3.58;0.29;
0.51;7.38;7.07;2.10;7.32;3.58;0.29;
0.51;7.38;7.07;2.10;7.32;3.58;0.29;
0.51;7.38;7.07;2.10;7.32;3.58;0.29;
0.51;7.38;7.07;2.10;7.32;3.59;0.29;
0.51;7.37;7.07;2.09;7.32;3.59;0.29;
0.51;7.37;7.07;2.09;7.33;3.59;0.29;
0.51;7.37;7.07;2.09;7.33;3.59;0.29;
0.51;7.37;7.07;2.09;7.33;3.59;0.29;
0.51;7.37;7.07;2.09;7.33;3.59;0.29;
0.51;7.37;7.07;2.09;7.33;3.59;0.29;
0.51;7.37;7.07;2.08;7.33;3.60;0.29;
0.51;7.37;7.07;2.08;7.33;3.60;0.29;
0.51;7.37;7.07;2.08;7.33;3.60;0.29;
0.51;7.37;7.07;2.08;7.33;3.60;0.29;
0.51;7.37;7.07;2.08;7.33;3.60;0.29;
0.51;7.37;7.07;2.07;7.33;3.60;0.29;
0.51;7.37;7.07;2.07;7.33;3.60;0.29;
0.51;7.37;7.07;2.07;7.33;3.60;0.28;
0.51;7.37;7.07;2.07;7.33;3.61;0.28;
0.51;7.37;7.07;2.07;7.33;3.61;0.28;
0.51;7.37;7.07;2.06;7.33;3.61;0.28;
0.51;7.37;7.07;2.06;7.33;3.61;0.28;
0.51;7.37;7.07;2.06;7.33;3.61;0.28;
0.51;7.36;7.07;2.06;7.33;3.61;0.28;
0.51;7.36;7.07;2.06;7.33;3.61;0.28;
0.51;7.36;7.07;2.05;7.33;3.62;0.28;
0.51;7.36;7.07;2.05;7.33;3.62;0.28;
0.51;7.36;7.07;2.05;7.33;3.62;0.28;
0.51;7.36;7.07;2.05;7.33;3.62;0.28;
0.51;7.36;7.07;2.05;7.33;3.62;0.28;
0.51;7.36;7.07;2.04;7.34;3.62;0.28;
0.51;7.36;7.07;2.04;7.34;3.62;0.28;
0.51;7.36;7.07;2.04;7.34;3.63;0.28;
0.51;7.36;7.07;2.04;7.34;3.63;0.28;
0.51;7.36;7.07;2.04;7.34;3.63;0.28;
0.51;7.36;7.07;2.04;7.34;3.63;0.28;
0.51;7.36;7.07;2.03;7.34;3.63;0.28;
0.51;7.36;7.07;2.03;7.34;3.63;0.28;
0.51;7.36;7.07;2.03;7.34;3.63;0.28;
0.51;7.36;7.07;2.03;7.34;3.64;0.28;
0.51;7.36;7.07;2.03;7.34;3.64;0.28;
0.51;7.35;7.07;2.02;7.34;3.64;0.28;
0.51;7.35;7.07;2.02;7.34;3.64;0.28;
0.51;7.35;7.07;2.02;7.34;3.64;0.28;
0.52;7.35;7.07;2.02;7.34;3.64;0.28;
0.52;7.35;7.07;2.02;7.34;3.64;0.28;
0.52;7.35;7.07;2.01;7.34;3.65;0.28;
0.52;7.35;7.07;2.01;7.34;3.65;0.28;
0.52;7.35;7.07;2.01;7.34;3.65;0.28;
0.52;7.35;7.07;2.01;7.34;3.65;0.28;
0.52;7.35;7.07;2.01;7.34;3.65;0.28;
0.52;7.35;7.07;2.00;7.34;3.65;0.28;
0.52;7.35;7.07;2.00;7.34;3.65;0.28;
0.52;7.35;7.07;2.00;7.34;3.65;0.28;
0.52;7.35;7.07;2.00;7.34;3.66;0.28;
0.52;7.35;7.07;2.00;7.35;3.66;0.28;
0.52;7.35;7.07;1.99;7.35;3.66;0.27;
0.52;7.35;7.07;1.99;7.35;3.66;0.27;
0.52;7.35;7.07;1.99;7.35;3.66;0.27;
0.52;7.35;7.07;1.99;7.35;3.66;0.27;
0.52;7.34;7.07;1.99;7.35;3.66;0.27;
0.52;7.34;7.07;1.99;7.35;3.67;0.27;
0.52;7.34;7.07;1.98;7.35;3.67;0.27;
0.52;7.34;7.07;1.98;7.35;3.67;0.27;
0.52;7.34;7.07;1.98;7.35;3.67;0.27;
0.52;7.34;7.07;1.98;7.35;3.67;0.27;
0.52;7.34;7.07;1.98;7.35;3.67;0.27;
0.52;7.34;7.07;1.97;7.35;3.67;0.27;
0.52;7.34;7.07;1.97;7.35;3.68;0.27;
0.52;7.34;7.07;1.97;7.35;3.68;0.27;
0.52;7.34;7.07;1.97;7.35;3.68;0.27;
0.52;7.34;7.07;1.97;7.35;3.68;0.27;
0.52;7.34;7.07;1.96;7.35;3.68;0.27;
0.52;7.34;7.07;1.96;7.35;3.68;0.27;
0.52;7.34;7.07;1.96;7.35;3.68;0.27;
0.52;7.34;7.07;1.96;7.35;3.69;0.27;
0.52;7.34;7.07;1.96;7.35;3.69;0.27;
0.52;7.34;7.07;1.95;7.35;3.69;0.27;
0.52;7.34;7.07;1.95;7.35;3.69;0.27;
0.52;7.34;7.07;1.95;7.35;3.69;0.27;
0.52;7.33;7.07;1.95;7.35;3.69;0.27;
0.52;7.33;7.07;1.95;7.36;3.69;0.27;
0.52;7.33;7.07;1.94;7.36;3.70;0.27;
0.52;7.33;7.07;1.94;7.36;3.70;0.27;
0.52;7.33;7.07;1.94;7.36;3.70;0.27;
0.52;7.33;7.07;1.94;7.36;3.70;0.27;
0.52;7.33;7.07;1.94;7.36;3.70;0.27;
0.52;7.33;7.07;1.94;7.36;3.70;0.27;
0.52;7.33;7.07;1.93;7.36;3.70;0.27;
0.52;7.33;7.07;1.93;7.36;3.70;0.27;
0.52;7.33;7.07;1.93;7.36;3.71;0.27;
0.52;7.33;7.07;1.93;7.36;3.71;0.27;
0.52;7.33;7.07;1.93;7.36;3.71;0.27;
0.52;7.33;7.07;1.92;7.36;3.71;0.27;
0.52;7.33;7.07;1.92;7.36;3.71;0.27;
0.53;7.33;7.07;1.92;7.36;3.71;0.27;
0.53;7.33;7.07;1.92;7.36;3.71;0.26;
0.53;7.33;7.07;1.92;7.36;3.72;0.26;
0.53;7.33;7.07;1.91;7.36;3.72;0.26;
0.53;7.33;7.07;1.91;7.36;3.72;0.26;
0.53;7.32;7.07;1.91;7.36;3.72;0.26;
0.53;7.32;7.07;1.91;7.36;3.72;0.26;
0.53;7.32;7.07;1.91;7.36;3.72;0.26;
0.53;7.32;7.07;1.90;7.36;3.72;0.26;
0.53;7.32;7.07;1.90;7.36;3.73;0.26;
0.53;7.32;7.07;1.90;7.36;3.73;0.26;
0.53;7.32;7.07;1.90;7.36;3.73;0.26;
0.53;7.32;7.07;1.90;7.37;3.73;0.26;
0.53;7.32;7.07;1.89;7.37;3.73;0.26;
0.53;7.32;7.07;1.89;7.37;3.73;0.26;
0.53;7.32;7.07;1.89;7.37;3.73;0.26;
0.53;7.32;7.07;1.89;7.37;3.74;0.26;
0.53;7.32;7.07;1.89;7.37;3.74;0.26;
0.53;7.32;7.07;1.89;7.37;3.74;0.26;
0.53;7.32;7.07;1.88;7.37;3.74;0.26;
0.53;7.32;7.07;1.88;7.37;3.74;0.26;
0.53;7.32;7.07;1.88;7.37;3.74;0.26;
0.53;7.32;7.07;1.88;7.37;3.74;0.26;
0.53;7.32;7.07;1.88;7.37;3.74;0.26;
0.53;7.32;7.07;1.87;7.37;3.75;0.26;
0.53;7.31;7.07;1.87;7.37;3.75;0.26;
0.53;7.31;7.07;1.87;7.37;3.75;0.26;
0.53;7.31;7.07;1.87;7.37;3.75;0.26;
0.53;7.31;7.07;1.87;7.37;3.75;0.26;
0.53;7.31;7.07;1.86;7.37;3.75;0.26;
0.53;7.31;7.07;1.86;7.37;3.75;0.26;
0.53;7.31;7.07;1.86;7.37;3.76;0.26;
0.53;7.31;7.07;1.86;7.37;3.76;0.26;
0.53;7.31;7.07;1.86;7.37;3.76;0.26;
0.53;7.31;7.07;1.85;7.37;3.76;0.26;
0.53;7.31;7.07;1.85;7.37;3.76;0.26;
0.53;7.31;7.07;1.85;7.37;3.76;0.26;
0.53;7.31;7.07;1.85;7.37;3.76;0.26;
0.53;7.31;7.07;1.85;7.37;3.77;0.26;
0.53;7.31;7.07;1.84;7.37;3.77;0.26;
0.53;7.31;7.07;1.84;7.38;3.77;0.25;
0.53;7.31;7.07;1.84;7.38;3.77;0.25;
0.53;7.31;7.07;1.84;7.38;3.77;0.25;
0.53;7.31;7.07;1.84;7.38;3.77;0.25;
0.53;7.31;7.07;1.84;7.38;3.77;0.25;
0.53;7.30;7.07;1.83;7.38;3.78;0.25;
0.53;7.30;7.07;1.83;7.38;3.78;0.25;
0.53;7.30;7.07;1.83;7.38;3.78;0.25;
0.53;7.30;7.07;1.83;7.38;3.78;0.25;
0.53;7.30;7.07;1.83;7.38;3.78;0.25;
0.53;7.30;7.07;1.82;7.38;3.78;0.25;
0.54;7.30;7.07;1.82;7.38;3.78;0.25;
0.54;7.30;7.07;1.82;7.38;3.79;0.25;
0.54;7.30;7.07;1.82;7.38;3.79;0.25;
0.54;7.30;7.07;1.82;7.38;3.79;0.25;
0.54;7.30;7.07;1.81;7.38;3.79;0.25;
0.54;7.30;7.07;1.81;7.38;3.79;0.25;
0.54;7.30;7.07;1.81;7.38;3.79;0.25;
0.54;7.30;7.07;1.81;7.38;3.79;0.25;
0.54;7.30;7.07;1.81;7.38;3.79;0.25;
0.54;7.30;7.07;1.80;7.38;3.80;0.25;
0.54;7.30;7.07;1.80;7.38;3.80;0.25;
0.54;7.30;7.07;1.80;7.38;3.80;0.25;
0.54;7.30;7.07;1.80;7.38;3.80;0.25;
0.54;7.30;7.07;1.80;7.38;3.80;0.25;
0.54;7.30;7.07;1.79;7.38;3.80;0.25;
0.54;7.29;7.07;1.79;7.38;3.80;0.25;
0.54;7.29;7.07;1.79;7.38;3.81;0.25;
0.54;7.29;7.07;1.79;7.39;3.81;0.25;
0.54;7.29;7.07;1.79;7.39;3.81;0.25;
0.54;7.29;7.07;1.79;7.39;3.81;0.25;
0.54;7.29;7.07;1.78;7.39;3.81;0.25;
0.54;7.29;7.07;1.78;7.39;3.81;0.25;
0.54;7.29;7.07;1.78;7.39;3.81;0.25;
0.54;7.29;7.07;1.78;7.39;3.82;0.25;
0.54;7.29;7.07;1.78;7.39;3.82;0.25;
0.54;7.29;7.07;1.77;7.39;3.82;0.25;
0.54;7.29;7.07;1.77;7.39;3.82;0.25;
0.54;7.29;7.07;1.77;7.39;3.82;0.25;
0.54;7.29;7.07;1.77;7.39;3.82;0.24;
0.54;7.29;7.07;1.77;7.39;3.82;0.24;
0.54;7.29;7.07;1.76;7.39;3.83;0.24;
0.54;7.29;7.07;1.76;7.39;3.83;0.24;
0.54;7.29;7.07;1.76;7.39;3.83;0.24;
0.54;7.29;7.07;1.76;7.39;3.83;0.24;
0.54;7.29;7.07;1.76;7.39;3.83;0.24;
0.54;7.29;7.07;1.75;7.39;3.83;0.24;
0.54;7.28;7.07;1.75;7.39;3.83;0.24;
0.54;7.28;7.07;1.75;7.39;3.84;0.24;
0.54;7.28;7.07;1.75;7.39;3.84;0.24;
0.54;7.28;7.07;1.75;7.39;3.84;0.24;
0.54;7.28;7.07;1.74;7.39;3.84;0.24;
0.54;7.28;7.07;1.74;7.39;3.84;0.24;
0.54;7.28;7.07;1.74;7.39;3.84;0.24;
0.54;7.28;7.07;1.74;7.39;3.84;0.24;
0.54;7.28;7.07;1.74;7.39;3.84;0.24;
0.54;7.28;7.07;1.74;7.39;3.85;0.24;
0.54;7.28;7.07;1.73;7.40;3.85;0.24;
0.54;7.28;7.07;1.73;7.40;3.85;0.24;
0.54;7.28;7.07;1.73;7.40;3.85;0.24;
0.54;7.28;7.07;1.73;7.40;3.85;0.24;
0.54;7.28;7.07;1.73;7.40;3.85;0.24;
0.55;7.28;7.07;1.72;7.40;3.85;0.24;
0.55;7.28;7.07;1.72;7.40;3.86;0.24;
0.55;7.28;7.07;1.72;7.40;3.86;0.24;
0.55;7.28;7.07;1.72;7.40;3.86;0.24;
0.55;7.28;7.07;1.72;7.40;3.86;0.24;
0.55;7.28;7.07;1.71;7.40;3.86;0.24;
0.55;7.28;7.07;1.71;7.40;3.86;0.24;
0.55;7.27;7.07;1.71;7.40;3.86;0.24;
0.55;7.27;7.07;1.71;7.40;3.87;0.24;
0.55;7.27;7.07;1.71;7.40;3.87;0.24;
0.55;7.27;7.07;1.70;7.40;3.87;0.24;
0.55;7.27;7.07;1.70;7.40;3.87;0.24;
0.55;7.27;7.07;1.70;7.40;3.87;0.24;
0.55;7.27;7.07;1.70;7.40;3.87;0.24;
0.55;7.27;7.07;1.70;7.40;3.87;0.24;
0.55;7.27;7.07;1.69;7.40;3.88;0.24;
0.55;7.27;7.07;1.69;7.40;3.88;0.23;
0.55;7.27;7.07;1.69;7.40;3.88;0.23;
0.55;7.27;7.07;1.69;7.40;3.88;0.23;
0.55;7.27;7.07;1.69;7.40;3.88;0.23;
0.55;7.27;7.07;1.69;7.40;3.88;0.23;
0.55;7.27;7.07;1.68;7.40;3.88;0.23;
0.55;7.27;7.07;1.68;7.40;3.89;0.23;
0.55;7.27;7.07;1.68;7.40;3.89;0.23;
0.55;7.27;7.07;1.68;7.41;3.89;0.23;
0.55;7.27;7.07;1.68;7.41;3.89;0.23;
0.55;7.27;7.07;1.67;7.41;3.89;0.23;
0.55;7.27;7.07;1.67;7.41;3.89;0.23;
0.55;7.27;7.07;1.67;7.41;3.89;0.23;
0.55;7.27;7.07;1.67;7.41;3.89;0.23;
0.55;7.26;7.07;1.67;7.41;3.90;0.23;
0.55;7.26;7.07;1.66;7.41;3.90;0.23;
0.55;7.26;7.07;1.66;7.41;3.90;0.23;
0.55;7.26;7.07;1.66;7.41;3.90;0.23;
0.55;7.26;7.07;1.66;7.41;3.90;0.23;
0.55;7.26;7.07;1.66;7.41;3.90;0.23;
0.55;7.26;7.07;1.65;7.41;3.90;0.23;
0.55;7.26;7.07;1.65;7.41;3.91;0.23;
0.55;7.26;7.07;1.65;7.41;3.91;0.23;
0.55;7.26;7.07;1.65;7.41;3.91;0.23;
0.55;7.26;7.07;1.65;7.41;3.91;0.23;
0.55;7.26;7.07;1.64;7.41;3.91;0.23;
0.55;7.26;7.07;1.64;7.41;3.91;0.23;
0.55;7.26;7.07;1.64;7.41;3.91;0.23;
0.55;7.26;7.07;1.64;7.41;3.92;0.23;
0.55;7.26;7.07;1.64;7.41;3.92;0.23;
0.55;7.26;7.07;1.64;7.41;3.92;0.23;
0.55;7.26;7.07;1.63;7.41;3.92;0.23;
0.55;7.26;7.07;1.63;7.41;3.92;0.23;
0.55;7.26;7.07;1.63;7.41;3.92;0.23;
0.55;7.26;7.07;1.63;7.41;3.92;0.23;
0.56;7.26;7.07;1.63;7.41;3.93;0.23;
0.56;7.26;7.07;1.62;7.41;3.93;0.23;
0.56;7.25;7.07;1.62;7.41;3.93;0.23;
0.56;7.25;7.07;1.62;7.41;3.93;0.23;
0.56;7.25;7.07;1.62;7.42;3.93;0.22;
0.56;7.25;7.07;1.62;7.42;3.93;0.22;
0.56;7.25;7.07;1.61;7.42;3.93;0.22;
0.56;7.25;7.07;1.61;7.42;3.93;0.22;
0.56;7.25;7.07;1.61;7.42;3.94;0.22;
0.56;7.25;7.07;1.61;7.42;3.94;0.22;
0.56;7.25;7.07;1.61;7.42;3.94;0.22;
0.56;7.25;7.07;1.60;7.42;3.94;0.22;
0.56;7.25;7.07;1.60;7.42;3.94;0.22;
0.56;7.25;7.07;1.60;7.42;3.94;0.22;
0.56;7.25;7.07;1.60;7.42;3.94;0.22;
0.56;7.25;7.07;1.60;7.42;3.95;0.22;
0.56;7.25;7.07;1.59;7.42;3.95;0.22;
0.56;7.25;7.07;1.59;7.42;3.95;0.22;
0.56;7.25;7.07;1.59;7.42;3.95;0.22;
0.56;7.25;7.07;1.59;7.42;3.95;0.22;
0.56;7.25;7.07;1.59;7.42;3.95;0.22;
0.56;7.25;7.07;1.58;7.42;3.95;0.22;
0.56;7.25;7.07;1.58;7.42;3.96;0.22;
0.56;7.25;7.07;1.58;7.42;3.96;0.22;
0.56;7.25;7.07;1.58;7.42;3.96;0.22;
0.56;7.24;7.07;1.58;7.42;3.96;0.22;
0.56;7.24;7.07;1.58;7.42;3.96;0.22;
0.56;7.24;7.07;1.57;7.42;3.96;0.22;
0.56;7.24;7.07;1.57;7.42;3.96;0.22;
0.56;7.24;7.07;1.57;7.42;3.97;0.22;
0.56;7.24;7.07;1.57;7.42;3.97;0.22;
0.56;7.24;7.07;1.57;7.42;3.97;0.22;
0.56;7.24;7.07;1.56;7.42;3.97;0.22;
0.56;7.24;7.07;1.56;7.42;3.97;0.22;
0.56;7.24;7.07;1.56;7.42;3.97;0.22;
0.56;7.24;7.07;1.56;7.42;3.97;0.22;
0.56;7.24;7.07;1.56;7.42;3.98;0.22;
0.56;7.24;7.07;1.55;7.43;3.98;0.22;
0.56;7.24;7.07;1.55;7.43;3.98;0.22;
0.56;7.24;7.07;1.55;7.43;3.98;0.22;
0.56;7.24;7.07;1.55;7.43;3.98;0.22;
0.56;7.24;7.07;1.55;7.43;3.98;0.22;
0.56;7.24;7.07;1.54;7.43;3.98;0.22;
0.56;7.24;7.07;1.54;7.43;3.98;0.21;
0.56;7.24;7.07;1.54;7.43;3.99;0.21;
0.56;7.24;7.07;1.54;7.43;3.99;0.21;
0.56;7.24;7.07;1.54;7.43;3.99;0.21;
0.56;7.24;7.07;1.53;7.43;3.99;0.21;
0.56;7.24;7.07;1.53;7.43;3.99;0.21;
0.56;7.23;7.07;1.53;7.43;3.99;0.21;
0.56;7.23;7.07;1.53;7.43;3.99;0.21;
0.57;7.23;7.07;1.53;7.43;4.00;0.21;
0.57;7.23;7.07;1.53;7.43;4.00;0.21;
0.57;7.23;7.07;1.52;7.43;4.00;0.21;
0.57;7.23;7.07;1.52;7.43;4.00;0.21;
0.57;7.23;7.07;1.52;7.43;4.00;0.21;
0.57;7.23;7.07;1.52;7.43;4.00;0.21;
0.57;7.23;7.07;1.52;7.43;4.00;0.21;
0.57;7.23;7.07;1.51;7.43;4.01;0.21;
0.57;7.23;7.07;1.51;7.43;4.01;0.21;
0.57;7.23;7.07;1.51;7.43;4.01;0.21;
0.57;7.23;7.07;1.51;7.43;4.01;0.21;
0.57;7.23;7.07;1.51;7.43;4.01;0.21;
0.57;7.23;7.07;1.50;7.43;4.01;0.21;
0.57;7.23;7.07;1.50;7.43;4.01;0.21;
0.57;7.23;7.07;1.50;7.43;4.02;0.21;
0.57;7.23;7.07;1.50;7.43;4.02;0.21;
0.57;7.23;7.07;1.50;7.43;4.02;0.21;
0.57;7.23;7.07;1.49;7.43;4.02;0.21;
0.57;7.23;7.07;1.49;7.43;4.02;0.21;
0.57;7.23;7.07;1.49;7.44;4.02;0.21;
0.57;7.23;7.07;1.49;7.44;4.02;0.21;
0.57;7.23;7.07;1.49;7.44;4.03;0.21;
0.57;7.23;7.07;1.48;7.44;4.03;0.21;
0.57;7.22;7.07;1.48;7.44;4.03;0.21;
0.57;7.22;7.07;1.48;7.44;4.03;0.21;
